Region,State,Area,CRSI,Governance,Risk,Built Environment,Society,Natural Environment
,Virginia,Suffolk city,1.44,0.574,0.557,0.494,0.489,0.454
,Virginia,Surry,2.349,0.556,0.242,0.305,0.494,0.504
,Virginia,Sussex,4.987,0.503,0.11,0.355,0.496,0.476
,Virginia,Tazewell,1.401,0.293,0.164,0.409,0.457,0.324
,Virginia,Virginia Beach city,1.389,0.507,0.468,0.377,0.509,0.52
,Virginia,Warren,1.51,0.616,0.363,0.333,0.577,0.354
,Virginia,Washington,0.762,0.183,0.277,0.443,0.475,0.422
,Virginia,Waynesboro city,-0.202,0.451,0.456,0.133,0.514,0.175
,Virginia,Westmoreland,3.181,0.66,0.251,0.297,0.651,0.463
,Virginia,Williamsburg city,1.001,0.873,0.387,0.218,0.491,0.365
,Virginia,Winchester city,-0.502,0.583,0.383,0.148,0.555,0.076
,Virginia,Wise,1.474,0.299,0.161,0.419,0.415,0.351
,Virginia,Wythe,2.792,0.355,0.153,0.375,0.58,0.431
,Virginia,York,1.666,0.576,0.59,0.326,0.595,0.679
 ,West Virginia,West Virginia,2.158,0.555,0.168,0.324,0.435,0.328
,West Virginia,Barbour,3.176,0.616,0.09,0.327,0.445,0.293
,West Virginia,Berkeley,0.848,0.633,0.482,0.349,0.431,0.353
,West Virginia,Boone,1.225,0.573,0.127,0.276,0.436,0.276
,West Virginia,Braxton,6.851,0.615,0.075,0.337,0.442,0.435
,West Virginia,Brooke,-0.014,0.592,0.373,0.251,0.38,0.235
,West Virginia,Cabell,1.109,0.582,0.243,0.295,0.449,0.323
,West Virginia,Calhoun,0.607,0.433,0.135,0.267,0.37,0.305
,West Virginia,Clay,0.735,0.402,0.119,0.292,0.301,0.345
,West Virginia,Doddridge,1.016,0.616,0.091,0.206,0.438,0.302
,West Virginia,Fayette,6.513,0.584,0.112,0.461,0.551,0.38
,West Virginia,Gilmer,1.325,0.75,0.077,0.222,0.364,0.337
,West Virginia,Grant,4.007,0.552,0.126,0.326,0.539,0.403
,West Virginia,Greenbrier,2.565,0.233,0.102,0.394,0.554,0.402
,West Virginia,Hampshire,4.28,0.61,0.105,0.417,0.373,0.364
,West Virginia,Hancock,-0.305,0.513,0.354,0.168,0.359,0.259
,West Virginia,Hardy,2.341,0.451,0.153,0.384,0.42,0.384
,West Virginia,Harrison,2.283,0.59,0.206,0.417,0.544,0.251
,West Virginia,Jackson,1.891,0.56,0.15,0.365,0.439,0.272
,West Virginia,Jefferson,1.42,0.602,0.332,0.401,0.449,0.339
,West Virginia,Kanawha,2.625,0.633,0.224,0.475,0.519,0.26
,West Virginia,Lewis,2.937,0.658,0.111,0.282,0.443,0.354
,West Virginia,Lincoln,0.397,0.554,0.145,0.316,0.322,0.256
,West Virginia,Logan,1.297,0.543,0.12,0.373,0.363,0.236
,West Virginia,Marion,1.699,0.611,0.222,0.351,0.506,0.28
,West Virginia,Marshall,1.271,0.642,0.206,0.358,0.412,0.261
,West Virginia,Mason,1.484,0.584,0.181,0.36,0.368,0.316
,West Virginia,McDowell,0.548,0.507,0.224,0.33,0.335,0.286
,West Virginia,Mercer,1.26,0.354,0.144,0.345,0.458,0.282
,West Virginia,Mineral,2.224,0.585,0.153,0.35,0.377,0.369
,West Virginia,Mingo,1.009,0.578,0.143,0.371,0.296,0.276
,West Virginia,Monongalia,0.729,0.546,0.399,0.385,0.404,0.289
Region 4,Alabama,Chilton,2.143,0.319,0.158,0.421,0.485,0.401
,Alabama,Choctaw,0.363,0.47,0.274,0.262,0.243,0.421
,Alabama,Clarke,0.723,0.345,0.318,0.4,0.359,0.364
,Alabama,Clay,1.083,0.195,0.129,0.349,0.372,0.43
,Alabama,Cleburne,1.12,0.287,0.131,0.308,0.309,0.44
,Alabama,Coffee,2.173,0.507,0.259,0.406,0.476,0.445
,Alabama,Colbert,1.142,0.224,0.262,0.432,0.535,0.462
,Alabama,Conecuh,0.317,0.328,0.275,0.318,0.172,0.44
,Alabama,Coosa,0.814,0.21,0.114,0.344,0.263,0.409
,Alabama,Covington,1.469,0.366,0.298,0.404,0.51,0.454
,Alabama,Crenshaw,1.297,0.45,0.205,0.349,0.38,0.371
,Alabama,Cullman,0.787,0.272,0.295,0.454,0.467,0.294
,Alabama,Dale,2.156,0.441,0.187,0.416,0.385,0.426
,Alabama,Dallas,1.2,0.398,0.138,0.326,0.282,0.404
,Alabama,DeKalb,1.013,0.435,0.287,0.441,0.356,0.322
,Alabama,Elmore,1.239,0.339,0.36,0.48,0.487,0.44
,Alabama,Escambia,0.895,0.337,0.347,0.434,0.304,0.475
,Alabama,Etowah,0.549,0.274,0.42,0.4,0.47,0.348
,Alabama,Fayette,1.449,0.416,0.182,0.336,0.385,0.4
,Alabama,Franklin,0.872,0.327,0.242,0.376,0.336,0.4
,Alabama,Geneva,1.758,0.288,0.128,0.348,0.39,0.442
,Alabama,Greene,0.383,0.34,0.251,0.312,0.223,0.412
,Alabama,Hale,0.494,0.412,0.259,0.295,0.241,0.427
,Alabama,Henry,0.458,0.162,0.226,0.326,0.405,0.397
,Alabama,Houston,1.658,0.422,0.308,0.465,0.492,0.407
,Alabama,Jackson,2.097,0.469,0.207,0.488,0.324,0.4
,Alabama,Jefferson,0.394,0.259,0.915,0.668,0.504,0.252
,Alabama,Lamar,2.069,0.452,0.153,0.381,0.335,0.417
,Alabama,Lauderdale,1.341,0.257,0.215,0.398,0.502,0.437
,Alabama,Lawrence,1.01,0.246,0.233,0.38,0.389,0.479
,Alabama,Lee,0.597,0.301,0.445,0.451,0.379,0.381
,Alabama,Limestone,0.726,0.38,0.597,0.438,0.43,0.458
,Alabama,Lowndes,2.197,0.439,0.112,0.372,0.33,0.374
,Alabama,Macon,1.124,0.263,0.113,0.302,0.412,0.352
,Alabama,Madison,0.61,0.421,0.804,0.567,0.437,0.324
,Alabama,Marengo,1.064,0.381,0.276,0.363,0.387,0.425
,Alabama,Marion,1.296,0.465,0.331,0.482,0.353,0.384
,Alabama,Marshall,0.703,0.458,0.361,0.391,0.356,0.33
,Alabama,Mobile,0.75,0.233,0.536,0.647,0.457,0.449
,Alabama,Monroe,0.632,0.3,0.311,0.377,0.362,0.382
,Alabama,Montgomery,1.012,0.435,0.519,0.484,0.534,0.353
,Alabama,Morgan,0.828,0.379,0.425,0.458,0.449,0.337
,Alabama,Perry,0.231,0.261,0.16,0.261,0.259,0.381
,Alabama,Pickens,1.61,0.47,0.184,0.369,0.378,0.367
,Alabama,Pike,2.839,0.445,0.142,0.38,0.396,0.453
,Alabama,Randolph,1.691,0.398,0.119,0.36,0.388,0.319
,Alabama,Russell,1.349,0.349,0.196,0.391,0.389,0.387
,Alabama,Shelby,0.952,0.339,0.531,0.597,0.495,0.376
,Alabama,St. Clair,0.578,0.286,0.566,0.532,0.456,0.337
,Alabama,Sumter,0.341,0.425,0.275,0.234,0.27,0.434
,Alabama,Talladega,0.601,0.191,0.303,0.485,0.358,0.39
,Alabama,Tallapoosa,0.833,0.295,0.336,0.404,0.451,0.4
,Alabama,Tuscaloosa,0.979,0.323,0.497,0.603,0.488,0.382
,Alabama,Walker,0.532,0.213,0.339,0.481,0.371,0.341
,Alabama,Washington,0.962,0.402,0.352,0.448,0.32,0.415
,Alabama,Wilcox,0.484,0.314,0.221,0.308,0.288,0.388
,Alabama,Winston,0.272,0.16,0.274,0.348,0.284,0.397
,Florida,Florida,1.969,0.427,0.312,0.485,0.434,0.426
,Florida,Alachua,2.929,0.408,0.241,0.7,0.468,0.385
,Florida,Baker,2.876,0.39,0.131,0.274,0.476,0.53
,Florida,Bay,2.768,0.464,0.266,0.588,0.52,0.406
,Florida,Bradford,3.497,0.365,0.096,0.32,0.524,0.421
,Florida,Brevard,1.598,0.522,0.622,0.673,0.47,0.483
,Florida,Broward,1.407,0.523,0.722,0.713,0.479,0.448
,Florida,Calhoun,1.014,0.205,0.111,0.243,0.396,0.458
,Florida,Charlotte,2.207,0.504,0.273,0.516,0.438,0.39
,Florida,Citrus,3.151,0.498,0.152,0.422,0.361,0.459
,Florida,Clay,1.939,0.522,0.356,0.415,0.515,0.49
,Florida,Collier,2.681,0.604,0.398,0.583,0.437,0.55
,Florida,Columbia,2.317,0.255,0.156,0.459,0.506,0.488
,Florida,DeSoto,0.702,0.432,0.242,0.404,0.292,0.301
,Florida,Dixie,1.829,0.383,0.122,0.283,0.361,0.456
,Florida,Duval,1.428,0.5,0.688,0.809,0.47,0.36
,Florida,Hernando,1.051,0.404,0.253,0.348,0.374,0.405
,Florida,Highlands,1.938,0.473,0.245,0.516,0.383,0.357
,Florida,Hillsborough,1.71,0.538,0.604,0.867,0.445,0.298
,Florida,Holmes,2.212,0.317,0.104,0.284,0.434,0.455
,Florida,Indian River,0.759,0.42,0.543,0.462,0.402,0.39
,Florida,Jackson,2.058,0.259,0.143,0.433,0.469,0.43
,Florida,Jefferson,6.115,0.529,0.087,0.316,0.555,0.439
,Florida,Lafayette,0.851,0.366,0.145,0.144,0.383,0.488
,Florida,Lake,1.103,0.324,0.488,0.676,0.43,0.412
,Florida,Lee,1.864,0.579,0.43,0.653,0.424,0.331
,Florida,Leon,1.458,0.33,0.375,0.518,0.541,0.494
,Florida,Levy,4.202,0.463,0.128,0.47,0.421,0.44
,Florida,Liberty,0.935,0.227,0.193,0.195,0.265,0.713
,Florida,Madison,3.32,0.476,0.129,0.393,0.474,0.376
,Florida,Manatee,0.931,0.547,0.442,0.423,0.443,0.307
,Florida,Marion,1.549,0.317,0.329,0.642,0.411,0.445
,Florida,Martin,1.485,0.552,0.456,0.495,0.476,0.395
,Florida,Miami-Dade,1.465,0.375,0.623,0.831,0.456,0.536
,Florida,Monroe,2.661,0.199,0.156,0.595,0.489,0.628
,Florida,Nassau,2.032,0.465,0.252,0.464,0.468,0.384
,Florida,Okaloosa,1.583,0.296,0.318,0.595,0.482,0.474
,Florida,Okeechobee,1.921,0.602,0.153,0.39,0.263,0.379
,Florida,Orange,0.972,0.391,0.716,0.82,0.462,0.278
,Florida,Osceola,1.471,0.479,0.441,0.652,0.404,0.335
,Florida,Palm Beach,2.249,0.529,0.494,0.817,0.47,0.407
,Florida,Pasco,1.483,0.465,0.38,0.588,0.378,0.367
,Florida,Pinellas,1.818,0.561,0.436,0.598,0.436,0.391
,Florida,Polk,1.416,0.388,0.514,0.834,0.429,0.329
,Florida,Putnam,2.273,0.375,0.16,0.495,0.335,0.404
,Florida,Santa Rosa,1.073,0.336,0.47,0.557,0.44,0.469
,Florida,Sarasota,1.293,0.56,0.428,0.476,0.519,0.285
,Florida,Seminole,0.517,0.356,0.747,0.503,0.524,0.29
,Florida,St. Johns,1.989,0.533,0.388,0.533,0.448,0.466
,Florida,St. Lucie,0.725,0.518,0.532,0.449,0.398,0.311
,Florida,Sumter,0.841,0.37,0.381,0.427,0.346,0.426
,Florida,Suwannee,2.327,0.394,0.12,0.368,0.446,0.345
,Florida,Taylor,3.961,0.617,0.115,0.326,0.398,0.444
,Florida,Union,2.831,0.402,0.075,0.253,0.432,0.409
,Florida,Volusia,1.949,0.482,0.474,0.741,0.428,0.447
,Florida,Wakulla,2.27,0.335,0.216,0.353,0.483,0.64
,Florida,Walton,1.877,0.216,0.172,0.538,0.43,0.496
,Florida,Washington,1.939,0.301,0.147,0.341,0.431,0.485
,Georgia,Georgia,1.429,0.442,0.224,0.282,0.42,0.395
,Georgia,Appling,4.127,0.462,0.088,0.265,0.589,0.374
,Georgia,Atkinson,-2.627,0.675,0.083,0.216,0.14,0.336
,Georgia,Bacon,0.755,0.461,0.095,0.185,0.363,0.387
,Georgia,Baker,0.633,0.387,0.09,0.221,0.182,0.488
,Georgia,Baldwin,0.892,0.314,0.176,0.299,0.45,0.334
,Georgia,Banks,0.569,0.544,0.23,0.246,0.411,0.316
,Georgia,Barrow,0.222,0.461,0.503,0.251,0.47,0.265
,Georgia,Bartow,0.307,0.204,0.583,0.388,0.452,0.387
,Georgia,Ben Hill,0.479,0.263,0.109,0.217,0.373,0.36
,Georgia,Berrien,2.317,0.504,0.083,0.269,0.33,0.413
,Georgia,Bibb,0.305,0.431,0.531,0.287,0.502,0.253
,Georgia,Bleckley,3.087,0.429,0.1,0.267,0.449,0.456
,Georgia,Brantley,1.791,0.525,0.113,0.278,0.352,0.389
,Georgia,Brooks,2.427,0.421,0.08,0.263,0.341,0.442
,Georgia,Bryan,3.878,0.488,0.172,0.411,0.526,0.504
,Georgia,Bulloch,2.522,0.457,0.185,0.388,0.458,0.442
,Georgia,Burke,3.251,0.497,0.129,0.379,0.428,0.403
,Georgia,Butts,1.569,0.61,0.179,0.236,0.483,0.359
,Georgia,Calhoun,2.999,0.52,0.077,0.222,0.372,0.457
,Georgia,Camden,3.705,0.721,0.259,0.392,0.478,0.549
,Georgia,Candler,2.086,0.383,0.069,0.175,0.434,0.429
,Georgia,Carroll,0.728,0.366,0.304,0.373,0.442,0.301
,Georgia,Catoosa,0.183,0.463,0.585,0.221,0.417,0.335
,Georgia,Charlton,3.361,0.585,0.125,0.233,0.342,0.58
,Georgia,Chatham,1.541,0.517,0.697,0.625,0.566,0.53
,Georgia,Chattahoochee,1.236,0.385,0.167,0.26,0.238,0.559
,Georgia,Chattooga,0.511,0.299,0.138,0.256,0.308,0.385
,Georgia,Cherokee,0.37,0.261,0.611,0.354,0.535,0.354
,Georgia,Clarke,0.062,0.398,0.654,0.251,0.427,0.242
,Georgia,Clay,-0.255,0.299,0.098,0.199,0.216,0.392
,Georgia,Clayton,0.019,0.567,0.477,0.238,0.45,0.202
,Georgia,Clinch,-0.909,0.471,0.129,0.185,0.172,0.374
,Georgia,Cobb,0.347,0.359,0.558,0.38,0.514,0.21
,Georgia,Coffee,1.726,0.454,0.124,0.299,0.446,0.324
,Georgia,Colquitt,4.204,0.52,0.108,0.389,0.47,0.372
,Georgia,Columbia,1.182,0.56,0.471,0.297,0.544,0.46
,Georgia,Cook,1.845,0.536,0.155,0.223,0.416,0.456
,Georgia,Coweta,1.205,0.505,0.4,0.387,0.555,0.339
,Georgia,Crawford,0.66,0.518,0.121,0.267,0.259,0.38
,Georgia,Crisp,1.551,0.407,0.188,0.289,0.465,0.421
,Georgia,Dade,0.052,0.134,0.275,0.234,0.348,0.325
,Georgia,Dawson,0.452,0.22,0.353,0.242,0.471,0.47
,Georgia,Decatur,0.681,0.081,0.12,0.357,0.482,0.453
,Georgia,DeKalb,0.629,0.539,0.483,0.441,0.493,0.17
,Georgia,Dodge,1.765,0.298,0.088,0.308,0.391,0.38
,Georgia,Dooly,2.408,0.476,0.09,0.242,0.349,0.458
,Georgia,Dougherty,1.146,0.324,0.269,0.342,0.491,0.436
,Georgia,Douglas,0.301,0.478,0.481,0.259,0.502,0.254
,Georgia,Early,2.699,0.461,0.096,0.253,0.39,0.456
,Georgia,Echols,-1.569,0.443,0.084,0.197,0.094,0.403
,Georgia,Effingham,2.241,0.489,0.257,0.409,0.497,0.452
,Georgia,Elbert,1.207,0.431,0.165,0.247,0.444,0.379
,Georgia,Emanuel,2.643,0.463,0.091,0.301,0.403,0.377
,Georgia,Evans,5.126,0.636,0.085,0.226,0.446,0.492
,Georgia,Fannin,1.802,0.381,0.224,0.244,0.518,0.566
,Georgia,Fayette,0.802,0.53,0.47,0.278,0.56,0.354
,Georgia,Floyd,0.489,0.352,0.382,0.288,0.423,0.379
,Georgia,Forsyth,0.63,0.477,0.587,0.313,0.533,0.364
,Georgia,Franklin,0.834,0.591,0.246,0.239,0.442,0.342
,Georgia,Fulton,1.198,0.482,0.551,0.709,0.49,0.21
,Georgia,Gilmer,0.975,0.3,0.238,0.278,0.402,0.506
,Georgia,Glascock,-1.372,0.564,0.103,0.125,0.342,0.302
,Georgia,Glynn,1.745,0.478,0.352,0.366,0.552,0.497
,Georgia,Gordon,0.309,0.32,0.535,0.326,0.376,0.37
,Georgia,Grady,4.522,0.536,0.089,0.307,0.389,0.473
,Georgia,Greene,2.138,0.406,0.123,0.309,0.405,0.417
,Georgia,Gwinnett,0.561,0.561,0.569,0.418,0.553,0.15
,Georgia,Habersham,0.406,0.182,0.372,0.339,0.475,0.403
,Georgia,Hall,0.731,0.528,0.606,0.38,0.536,0.314
,Georgia,Hancock,1.418,0.33,0.085,0.234,0.414,0.378
,Georgia,Haralson,0.33,0.351,0.182,0.249,0.383,0.307
,Georgia,Harris,2.349,0.446,0.158,0.373,0.447,0.389
,Georgia,Hart,1.536,0.582,0.225,0.275,0.401,0.436
,Georgia,Heard,0.581,0.512,0.138,0.228,0.351,0.35
,Georgia,Henry,1.149,0.631,0.457,0.341,0.54,0.351
,Georgia,Houston,0.753,0.506,0.504,0.329,0.47,0.387
,Georgia,Irwin,1.287,0.347,0.086,0.207,0.437,0.37
,Georgia,Jackson,0.777,0.547,0.489,0.378,0.479,0.303
,Georgia,Jasper,3.004,0.581,0.099,0.318,0.37,0.381
,Georgia,Jeff Davis,0.376,0.482,0.084,0.185,0.36,0.352
,Georgia,Jefferson,2.902,0.534,0.107,0.293,0.441,0.38
,Georgia,Jenkins,0.049,0.47,0.088,0.117,0.334,0.424
,Georgia,Johnson,1.213,0.562,0.133,0.269,0.308,0.392
,Georgia,Jones,3.045,0.434,0.113,0.34,0.481,0.382
,Georgia,Lamar,0.931,0.486,0.215,0.228,0.422,0.397
,Georgia,Lanier,1.448,0.565,0.113,0.247,0.337,0.394
,Georgia,Laurens,3.785,0.497,0.147,0.383,0.584,0.386
,Georgia,Lee,3.04,0.684,0.217,0.365,0.515,0.399
,Georgia,Liberty,2.494,0.547,0.214,0.396,0.366,0.488
,Georgia,Lincoln,2.998,0.539,0.12,0.233,0.36,0.545
,Georgia,Long,1.118,0.26,0.109,0.268,0.302,0.473
,Georgia,Lowndes,1.689,0.491,0.334,0.443,0.516,0.388
,Georgia,Lumpkin,0.971,0.279,0.251,0.273,0.393,0.558
,Georgia,Macon,2.381,0.466,0.093,0.218,0.398,0.452
,Georgia,Madison,1.003,0.443,0.214,0.275,0.513,0.303
,Georgia,Marion,-0.03,0.396,0.101,0.204,0.189,0.438
,Georgia,McDuffie,3.066,0.579,0.148,0.236,0.548,0.439
,Georgia,McIntosh,1.149,0.154,0.143,0.328,0.453,0.529
,Georgia,Meriwether,1.775,0.4,0.145,0.309,0.439,0.39
,Georgia,Miller,2.1,0.564,0.173,0.204,0.486,0.466
,Georgia,Mitchell,2.388,0.423,0.156,0.323,0.505,0.42
,Georgia,Monroe,1.839,0.497,0.205,0.356,0.524,0.318
,Georgia,Montgomery,0.836,0.593,0.072,0.237,0.283,0.371
,Georgia,Morgan,2.751,0.53,0.169,0.37,0.541,0.336
,Georgia,Murray,0.331,0.271,0.248,0.295,0.231,0.432
,Georgia,Muscogee,0.435,0.338,0.472,0.281,0.49,0.365
,Georgia,Newton,0.691,0.532,0.412,0.311,0.475,0.314
,Georgia,Oconee,0.588,0.493,0.494,0.296,0.592,0.259
,Georgia,Oglethorpe,0.965,0.443,0.145,0.264,0.311,0.408
,Georgia,Paulding,0.433,0.402,0.444,0.274,0.46,0.343
,Georgia,Peach,0.833,0.592,0.431,0.283,0.455,0.39
,Georgia,Pickens,0.397,0.276,0.397,0.327,0.445,0.336
,Georgia,Pierce,3.446,0.534,0.098,0.29,0.421,0.42
,Georgia,Pike,3.933,0.565,0.128,0.322,0.523,0.408
,Georgia,Polk,0.307,0.268,0.378,0.291,0.416,0.342
,Georgia,Pulaski,2.688,0.421,0.116,0.232,0.465,0.493
,Georgia,Putnam,1.555,0.378,0.145,0.27,0.404,0.44
,Georgia,Quitman,-0.319,0.224,0.086,0.171,0.227,0.397
,Georgia,Rabun,1.467,0.442,0.294,0.284,0.493,0.508
,Georgia,Randolph,0.831,0.283,0.075,0.227,0.357,0.37
,Georgia,Richmond,0.727,0.492,0.591,0.341,0.556,0.355
,Georgia,Rockdale,0.59,0.579,0.436,0.216,0.594,0.286
,Georgia,Schley,0.459,0.361,0.13,0.216,0.24,0.454
,Georgia,Screven,3.197,0.577,0.099,0.221,0.431,0.454
,Georgia,Seminole,0.717,0.201,0.159,0.223,0.428,0.461
,Georgia,Spalding,0.556,0.505,0.391,0.238,0.466,0.359
,Georgia,Stephens,0.39,0.25,0.359,0.231,0.496,0.394
,Georgia,Stewart,0.563,0.312,0.094,0.227,0.292,0.403
,Georgia,Sumter,3.518,0.479,0.129,0.333,0.5,0.44
,Georgia,Talbot,0.226,0.374,0.06,0.237,0.251,0.371
,Georgia,Taliaferro,-3.631,0.56,0.106,0.057,0.112,0.383
,Georgia,Tattnall,4.646,0.537,0.065,0.278,0.363,0.451
,Georgia,Taylor,1.472,0.583,0.109,0.269,0.292,0.4
,Georgia,Telfair,2.051,0.367,0.066,0.259,0.361,0.395
,Georgia,Terrell,1.127,0.527,0.06,0.187,0.332,0.398
,Georgia,Thomas,4.311,0.391,0.111,0.402,0.5,0.475
,Georgia,Tift,1.221,0.387,0.257,0.315,0.515,0.39
,Georgia,Toombs,3.573,0.535,0.089,0.289,0.42,0.407
,Georgia,Towns,2.695,0.452,0.182,0.191,0.611,0.559
,Georgia,Treutlen,0.504,0.25,0.08,0.165,0.459,0.334
,Georgia,Troup,1.24,0.414,0.29,0.366,0.448,0.412
,Georgia,Turner,0.958,0.41,0.06,0.239,0.275,0.392
,Georgia,Twiggs,2.044,0.418,0.07,0.282,0.323,0.39
,Georgia,Union,0.294,0.044,0.168,0.231,0.543,0.586
,Georgia,Upson,1.351,0.504,0.104,0.257,0.4,0.328
,Georgia,Walker,0.156,0.136,0.253,0.274,0.31,0.386
,Georgia,Walton,1.092,0.479,0.345,0.382,0.542,0.286
,Georgia,Ware,3.338,0.547,0.157,0.302,0.524,0.459
,Georgia,Warren,-0.387,0.478,0.086,0.178,0.258,0.386
,Georgia,Washington,6.12,0.578,0.09,0.348,0.5,0.424
,Georgia,Wayne,3.731,0.487,0.08,0.308,0.448,0.37
,Georgia,Webster,-0.656,0.333,0.1,0.13,0.189,0.441
,Georgia,Wheeler,1.086,0.481,0.066,0.193,0.374,0.366
,Georgia,White,1.147,0.455,0.265,0.219,0.527,0.426
,Georgia,Whitfield,0.266,0.36,0.411,0.289,0.38,0.32
,Georgia,Wilcox,-0.022,0.297,0.061,0.136,0.314,0.413
,Georgia,Wilkes,1.194,0.583,0.099,0.176,0.371,0.409
,Georgia,Wilkinson,3.101,0.524,0.114,0.263,0.509,0.395
,Georgia,Worth,4.686,0.512,0.07,0.308,0.432,0.394
,Kentucky,Kentucky,1.041,0.534,0.2,0.255,0.388,0.371
,Kentucky,Adair,1.691,0.55,0.11,0.259,0.433,0.325
,Kentucky,Allen,0.282,0.438,0.132,0.265,0.259,0.354
,Kentucky,Anderson,1.532,0.417,0.17,0.275,0.556,0.326
,Kentucky,Ballard,1.473,0.643,0.185,0.183,0.473,0.41
,Kentucky,Barren,1.054,0.263,0.163,0.322,0.407,0.405
,Kentucky,Bath,-0.424,0.601,0.152,0.213,0.269,0.324
,Kentucky,Bell,0.675,0.467,0.199,0.277,0.224,0.451
,Kentucky,Boone,0.674,0.613,0.571,0.289,0.531,0.331
,Kentucky,Bourbon,3.942,0.679,0.124,0.284,0.439,0.447
,Kentucky,Boyd,0.773,0.609,0.304,0.236,0.399,0.396
,Kentucky,Boyle,1.41,0.652,0.18,0.213,0.478,0.359
,Kentucky,Bracken,0.128,0.652,0.095,0.199,0.306,0.36
,Kentucky,Breathitt,-0.534,0.735,0.153,0.236,0.22,0.336
,Kentucky,Breckinridge,3.037,0.537,0.098,0.276,0.476,0.359
,Kentucky,Bullitt,1.307,0.654,0.386,0.33,0.498,0.372
,Kentucky,Butler,0.873,0.316,0.089,0.214,0.412,0.352
,Kentucky,Caldwell,1.836,0.534,0.148,0.232,0.474,0.39
,Kentucky,Calloway,0.948,0.35,0.237,0.304,0.491,0.353
,Kentucky,Campbell,0.295,0.576,0.389,0.174,0.473,0.329
,Kentucky,Carlisle,0.05,0.509,0.176,0.159,0.338,0.378
,Kentucky,Carroll,0.213,0.567,0.153,0.257,0.255,0.354
,Kentucky,Carter,0.684,0.598,0.119,0.272,0.275,0.354
,Kentucky,Casey,0.509,0.477,0.084,0.208,0.319,0.369
,Kentucky,Christian,1.141,0.4,0.288,0.363,0.383,0.449
,Kentucky,Clark,1.588,0.534,0.172,0.308,0.424,0.35
,Kentucky,Clay,0.234,0.55,0.163,0.224,0.218,0.424
,Kentucky,Clinton,0.718,0.547,0.134,0.199,0.348,0.391
,Kentucky,Crittenden,-0.248,0.649,0.142,0.133,0.336,0.378
,Kentucky,Cumberland,-0.205,0.307,0.128,0.135,0.353,0.35
,Kentucky,Daviess,1.442,0.593,0.397,0.359,0.595,0.341
,Kentucky,Edmonson,0.64,0.451,0.099,0.199,0.266,0.443
,Kentucky,Elliott,-1.907,0.718,0.122,0.165,0.24,0.311
,Kentucky,Estill,0.119,0.533,0.179,0.228,0.287,0.353
,Kentucky,Fayette,0.78,0.601,0.5,0.369,0.481,0.293
,Kentucky,Fleming,0.361,0.546,0.163,0.225,0.369,0.319
,Kentucky,Floyd,0.346,0.559,0.17,0.282,0.385,0.243
,Kentucky,Franklin,1.244,0.557,0.243,0.226,0.568,0.335
,Kentucky,Fulton,-0.616,0.472,0.201,0.107,0.206,0.426
,Kentucky,Gallatin,0.132,0.597,0.175,0.2,0.324,0.353
,Kentucky,Garrard,2.002,0.583,0.115,0.253,0.428,0.359
,Kentucky,Grant,3.633,0.577,0.103,0.299,0.481,0.37
,Kentucky,Graves,1.356,0.48,0.2,0.288,0.447,0.373
,Kentucky,Grayson,0.534,0.571,0.242,0.238,0.401,0.327
,Kentucky,Green,0.86,0.497,0.116,0.184,0.431,0.351
,Kentucky,Greenup,1.168,0.624,0.253,0.346,0.358,0.345
,Kentucky,Hancock,1.432,0.698,0.204,0.222,0.475,0.363
,Kentucky,Hardin,1.638,0.472,0.283,0.428,0.466,0.376
,Kentucky,Harlan,0.184,0.432,0.198,0.266,0.291,0.326
,Kentucky,Harrison,2.757,0.692,0.135,0.236,0.479,0.394
,Kentucky,Hart,-0.204,0.3,0.138,0.215,0.264,0.332
,Kentucky,Henderson,2.306,0.628,0.252,0.399,0.432,0.412
,Kentucky,Henry,2.324,0.707,0.11,0.219,0.443,0.369
,Kentucky,Hickman,0.194,0.412,0.159,0.081,0.448,0.398
,Kentucky,Hopkins,1.968,0.48,0.198,0.368,0.494,0.35
,Kentucky,Jackson,1.219,0.576,0.145,0.276,0.277,0.418
,Kentucky,Jefferson,0.774,0.628,0.675,0.507,0.466,0.23
,Kentucky,Jessamine,0.928,0.631,0.344,0.283,0.436,0.364
,Kentucky,Johnson,-0.126,0.586,0.232,0.234,0.308,0.293
,Kentucky,Kenton,0.233,0.608,0.667,0.21,0.474,0.311
,Kentucky,Knott,0.192,0.592,0.123,0.287,0.215,0.346
,Kentucky,Knox,0.636,0.389,0.131,0.222,0.316,0.407
,Kentucky,Larue,2.345,0.488,0.097,0.212,0.513,0.364
,Kentucky,Laurel,0.828,0.411,0.313,0.308,0.408,0.41
,Kentucky,Lawrence,0.017,0.413,0.144,0.263,0.24,0.339
,Kentucky,Lee,-0.2,0.743,0.174,0.232,0.233,0.356
,Kentucky,Leslie,-0.037,0.365,0.16,0.243,0.164,0.412
,Kentucky,Letcher,-0.3,0.407,0.143,0.278,0.204,0.306
,Kentucky,Lewis,-1.535,0.65,0.138,0.166,0.217,0.328
,Kentucky,Lincoln,2.338,0.411,0.121,0.306,0.511,0.352
,Kentucky,Livingston,0.686,0.693,0.237,0.189,0.44,0.352
,Kentucky,Logan,2.825,0.608,0.15,0.31,0.423,0.424
,Kentucky,Lyon,2.069,0.551,0.188,0.159,0.496,0.532
,Kentucky,Madison,1.268,0.535,0.373,0.394,0.458,0.379
,Kentucky,Magoffin,-0.64,0.501,0.3,0.178,0.214,0.294
